update,Total Number of Messages Count,Total Number of Self IDs sent Count,Total Number of Real Ids sent Count,Total Number of Highest IDs sent Count
0,0,0,0,0
100,34860,0,33600,0
200,70910,0,69650,0
300,106750,70,105490,0
400,143220,140,141960,0
500,180250,140,178990,0
600,217350,210,216090,0
700,253190,210,251930,0
800,290570,210,289310,0
900,327460,280,326200,0
1000,364140,280,362880,0
1100,399840,280,398580,0
1200,434350,280,433090,0
1300,470680,280,469420,0
1400,508200,280,506940,0
1500,542640,280,541380,0
1600,579390,280,578130,0
1700,617400,280,616140,0
1800,653730,280,652470,70
1900,691110,280,689850,70
2000,726250,350,724990,140
2100,763140,490,761880,140
2200,799960,490,798700,140
2300,835870,490,834610,140
2400,872200,490,870940,140
2500,909720,490,908460,210
2600,944440,490,943180,210
2700,980070,490,978810,280
2800,1.01689e+06,490,1.01563e+06,280
2900,1.05315e+06,490,1.05189e+06,280
3000,1.09032e+06,560,1.08906e+06,350
3100,1.12756e+06,560,1.1263e+06,350
3200,1.16291e+06,560,1.16165e+06,350
3300,1.20043e+06,560,1.19917e+06,350
3400,1.23564e+06,560,1.23438e+06,420
3500,1.27141e+06,560,1.27015e+06,420
3600,1.30809e+06,560,1.30683e+06,420
3700,1.34526e+06,630,1.344e+06,420
3800,1.38012e+06,630,1.37886e+06,420
3900,1.41708e+06,630,1.41582e+06,490
4000,1.45544e+06,630,1.45418e+06,490
4100,1.49086e+06,630,1.4896e+06,490
4200,1.52754e+06,700,1.52628e+06,560
4300,1.56331e+06,700,1.56205e+06,560
4400,1.59852e+06,700,1.59726e+06,560
4500,1.63639e+06,700,1.63513e+06,560
4600,1.67188e+06,700,1.67062e+06,560
4700,1.70772e+06,770,1.70646e+06,560
4800,1.74419e+06,770,1.74293e+06,560
4900,1.78087e+06,770,1.77961e+06,560
5000,1.81818e+06,910,1.81692e+06,560
5100,1.85367e+06,910,1.85241e+06,560
5200,1.8886e+06,910,1.88734e+06,560
5300,1.92388e+06,910,1.92262e+06,560
5400,1.95965e+06,980,1.95839e+06,560
5500,1.99577e+06,980,1.99451e+06,560
5600,2.03168e+06,980,2.03042e+06,560
5700,2.06717e+06,980,2.06591e+06,560
5800,2.10518e+06,980,2.10392e+06,560
5900,2.14284e+06,980,2.14158e+06,560
6000,2.17952e+06,980,2.17826e+06,560
6100,2.21515e+06,980,2.21389e+06,630
6200,2.25232e+06,980,2.25106e+06,630
6300,2.28844e+06,980,2.28718e+06,630
6400,2.32505e+06,980,2.32379e+06,770
6500,2.3611e+06,980,2.35984e+06,770
6600,2.39673e+06,980,2.39547e+06,770
6700,2.43327e+06,980,2.43201e+06,770
6800,2.46939e+06,980,2.46813e+06,770
6900,2.5046e+06,980,2.50334e+06,770
7000,2.54065e+06,980,2.53939e+06,770
7100,2.57712e+06,980,2.57586e+06,770
7200,2.61387e+06,980,2.61261e+06,840
7300,2.64964e+06,980,2.64838e+06,840
7400,2.68541e+06,980,2.68415e+06,840
7500,2.72223e+06,980,2.72097e+06,840
7600,2.75835e+06,1050,2.75709e+06,840
7700,2.79559e+06,1120,2.79433e+06,840
7800,2.83115e+06,1190,2.82989e+06,840
7900,2.86678e+06,1260,2.86552e+06,840
8000,2.95197e+06,1278,2.95069e+06,923
8100,2.99755e+06,1278,2.99627e+06,994
8200,3.04136e+06,1278,3.04008e+06,994
8300,3.08637e+06,1349,3.08509e+06,994
8400,3.1316e+06,1349,3.13032e+06,994
8500,3.17626e+06,1349,3.17498e+06,1065
8600,3.21999e+06,1420,3.21871e+06,1065
8700,3.26472e+06,1491,3.26344e+06,1065
8800,3.30853e+06,1491,3.30725e+06,1065
8900,3.35347e+06,1491,3.35219e+06,1065
9000,3.39692e+06,1491,3.39565e+06,1207
9100,3.44265e+06,1491,3.44137e+06,1207
9200,3.4866e+06,1491,3.48532e+06,1207
